_id,Lake Name,Township,STN,Site ID,Site Description,Latitude (DMS),Longitude (DMS),Date (dd/mm/yyyy),Chloride (mg/L)
1,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,08/06/2017,0.7
2,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,19/07/2016,0.8
3,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29/05/2015,0.6
4,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,21/05/2016,0.7
5,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,29/05/2021,0.6
6,ABERDEEN LAKE (BASS),ABERDEEN,4,1,"Mid Lake, deep spot",463030,834840,10/05/2017,0.7
7,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,07/10/2020,50.3
8,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,15/05/2021,46.9
9,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,13/05/2018,37.4
10,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,06/05/2019,37.9
11,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,09/05/2022,44.1
12,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,22/05/2016,32.4
13,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,02/05/2015,33
14,ADA LAKE,MEDORA,15,2,"Mid lake, deep spot",450524,793819,26/05/2017,38.1
15,AEROBUS LAKE,UNORGANIZED,25,1,"North Basin, Deep Spot- Aer-N",502050,932123,30/05/2018,0.2
16,AEROBUS LAKE,UNORGANIZED,25,2,"South Basin, Deep Spot- Aer-S",501826,932503,30/05/2018,0.2
17,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,20/05/2016,3.8
18,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,02/06/2018,4.6
19,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17/06/2016,4.3
20,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17/07/2016,4.7
21,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,16/07/2021,6.8
22,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,03/07/2015,4.8
23,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,18/05/2019,3.5
24,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,23/06/2021,5.4
25,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,11/06/2019,4.9
26,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,10/06/2022,6.9
27,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,08/07/2019,5.7
28,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,17/06/2016,4.3
29,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,1,Pickerel Pt.,453750,793905,01/06/2015,3.9
30,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17/06/2016,4.1
31,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,10/06/2022,6.6
32,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,02/06/2018,4.3
33,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,20/05/2016,4
34,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,16/07/2021,5.5
35,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,01/06/2015,3.7
36,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,18/05/2019,3.4
37,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17/07/2016,4.2
38,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,17/06/2016,4.1
39,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,11/06/2019,4.3
40,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,03/07/2015,4.5
41,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,08/07/2019,5
42,AHMIC LAKE,MUNICIPALITY OF WHITESTONE,32,2,Rocky Reef Pt.,453908,794324,23/06/2021,5.4
43,AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,11/07/2021,0.7
44,AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,22/05/2017,0.6
45,AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,26/05/2019,0.5
